ticker,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,topics,relevance_scores
AAOI,12 Information Technology Stocks Moving In Wednesday's Pre-Market Session,https://www.benzinga.com/pre-market-outlook/22/03/26164292/12-information-technology-stocks-moving-in-wednesdays-pre-market-session,20220316T130701,,"Gainers
Kingsoft Cloud Holdings  ( NASDAQ:KC )  shares rose 40.8% to $4.52 during Wednesday's pre-market session. The market value of their outstanding shares is at $1.0 billion.
Cemtrex  ( NASDAQ:CETXP )  stock rose 33.33% to $2.0.
GDS Holdings  ( NASDAQ:GDS )  shares moved upwards by 29.25% to $31",https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2022/movers_image_4402.jpeg,Benzinga,Markets,www.benzinga.com,-0.006826,Neutral,0.129655,-0.022188,Neutral,Life Sciences|Financial Markets|Manufacturing|Earnings|Technology,0.333333|0.266143|0.333333|0.451494|0.333333
AAOI,Broadcom's 100G/lane Optical PAM-4 DSP PHY Achieves Record Breaking Efficiency for Pluggable Transceiver Modules,https://www.globenewswire.com/news-release/2022/03/09/2400424/19933/en/Broadcom-s-100G-lane-Optical-PAM-4-DSP-PHY-Achieves-Record-Breaking-Efficiency-for-Pluggable-Transceiver-Modules.html,20220309T224500,Broadcom Inc.,Monolithic 400G PAM-4 DSP PHY with integrated TIA and high-swing laser driver delivers sub-7W DR4 module power Monolithic 400G PAM-4 DSP PHY with integrated TIA and high-swing laser driver delivers sub-7W DR4 module power,https://ml.globenewswire.com/Resource/Download/2fecbd2d-d0e5-4503-969d-90632b69ed65?size=1,GlobeNewswire,n/a,www.globenewswire.com,0.053532,Neutral,0.080135,0.012118,Neutral,Manufacturing,1.0
AAOI,Broadcom's 100G/lane Optical PAM-4 DSP PHY Achieves Record Breaking Efficiency for Pluggable Transceiver Modules,https://www.benzinga.com/pressreleases/22/03/g26072145/broadcoms-100glane-optical-pam-4-dsp-phy-achieves-record-breaking-efficiency-for-pluggable-transce,20220309T224500,,"SAN JOSE, Calif., March  09, 2022   ( GLOBE NEWSWIRE )  -- Broadcom Inc.  ( NASDAQ:AVGO )  today announced the demonstration of its 100G/lane optical PAM-4 DSP PHY with integrated transimpedance amplifier  ( TIA )  and high-swing laser driver, the BCM87412, optimized for 400G DR4/FR4 module applicat",https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,Benzinga,General,www.benzinga.com,0.055817,Neutral,0.077069,0.01171,Neutral,Manufacturing,1.0
AAME,Atlantic American Corporation Reports Fourth Quarter and Year End Results for 2021; Declares Annual Dividend,https://www.benzinga.com/pressreleases/22/03/g26300379/atlantic-american-corporation-reports-fourth-quarter-and-year-end-results-for-2021-declares-annual,20220325T154527,Globe Newswire,"ATLANTA, March  25, 2022   ( GLOBE NEWSWIRE )  -- Atlantic American Corporation  ( Nasdaq- AAME )  today reported net income for the three month period ended December 31, 2021 of $2.7 million, or $0.12 per diluted share, as compared to net income of $11.8 million, or $0.54 per diluted share, for the",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,News,www.benzinga.com,-0.016717,Neutral,0.191815,-0.001449,Neutral,Earnings|Finance|Financial Markets,0.999162|1.0|0.929393
AAME,Atlantic American Corporation Reports Fourth Quarter and Year End Results for 2021; Declares Annual Dividend,https://www.globenewswire.com/news-release/2022/03/25/2410413/17977/en/Atlantic-American-Corporation-Reports-Fourth-Quarter-and-Year-End-Results-for-2021-Declares-Annual-Dividend.html,20220325T154500,Atlantic American Corporation,"ATLANTA, March  25, 2022   ( GLOBE NEWSWIRE )  -- Atlantic American Corporation  ( Nasdaq- AAME )  today reported net income for the three month period ended December 31, 2021 of $2.7 million, or $0.12 per diluted share, as compared to net income of $11.8 million, or $0.54 per diluted share, for the",https://ml.globenewswire.com/Resource/Download/b93b9c43-593a-4adb-90a6-5b33d173d81e?size=1,GlobeNewswire,n/a,www.globenewswire.com,-0.011785,Neutral,0.19677,-0.00254,Neutral,Earnings|Finance|Financial Markets,0.999162|1.0|0.87644
AACG,"Earnings Scheduled For March 17, 2022",https://www.benzinga.com/news/earnings/22/03/26177874/earnings-scheduled-for-march-17-2022,20220317T085447,,"Companies Reporting Before The Bell
• TransGlobe Energy  ( NASDAQ:TGA )  is estimated to report earnings for its fourth quarter.
• Ikena Oncology  ( NASDAQ:IKNA )  is projected to report earnings for its fourth quarter.
• RF Industries  ( NASDAQ:RFIL )  is likely to report quarterly earnings at $0.0",https://cdn.benzinga.com/files/imagecache/story_image_685x375C/images/story/2022/earnings_image_2838.jpeg,Benzinga,Markets,www.benzinga.com,-0.020407,Neutral,0.028432,0.00494,Neutral,Life Sciences|Energy & Transportation|Technology|Finance|Retail & Wholesale|Financial Markets|Manufacturing|Earnings|Real Estate & Construction,0.142857|0.142857|0.142857|0.142857|0.142857|0.158519|0.142857|1.0|0.142857
AACG,StockNews.com Initiates Coverage on ATA Creativity Global  ( NASDAQ:AACG ) ,https://www.defenseworld.net/2023/04/14/stocknews-com-initiates-coverage-on-ata-creativity-global-nasdaqaacg.html,20230414T054041,Defense World Staff,StockNews.com Initiates Coverage on ATA Creativity Global ... Defense World ...,https://www.marketbeat.com/logos/ata-creativity-global-logo.png?v=20230106150324,Stocknews.com,n/a,www.defenseworld.net,0.134928,Neutral,0.930964,0.239148,Somewhat-Bullish,Earnings|Life Sciences|Financial Markets,0.158519|1.0|0.214378
AACG,"ATA Creativity Global Announces Filing of Annual Report on Form 20-F for the Year Ended December 31, 2022",https://www.globenewswire.com/news-release/2023/04/12/2645351/0/en/ATA-Creativity-Global-Announces-Filing-of-Annual-Report-on-Form-20-F-for-the-Year-Ended-December-31-2022.html,20230412T123000,ATA Creativity Global,"BEIJING, April 12, 2023 ( GLOBE NEWSWIRE ) -- ATA Creativity Global ( ""ACG"" or the ""Company"", Nasdaq: AACG ) , an international education services company focused on providing quality learning experiences that cultivate and enhance students' creativity, today announced that it has filed its ...",https://ml.globenewswire.com/Resource/Download/c31e7495-3e91-4151-87f5-a8fa0c06897b,GlobeNewswire,n/a,www.globenewswire.com,0.28244,Somewhat-Bullish,0.655281,0.484656,Bullish,Financial Markets,0.158519
AACG,ATA Creativity Global  ( NASDAQ:AACG )  Research Coverage Started at StockNews.com,https://www.defenseworld.net/2023/04/06/ata-creativity-global-nasdaqaacg-research-coverage-started-at-stocknews-com.html,20230406T053455,Defense World Staff,ATA Creativity Global ( NASDAQ:AACG ) Research Coverage Started ... Defense World ...,https://www.marketbeat.com/logos/ata-creativity-global-logo.png?v=20230106150324,Stocknews.com,n/a,www.defenseworld.net,0.179819,Somewhat-Bullish,0.885652,0.311158,Somewhat-Bullish,Earnings|Technology|Financial Markets,0.310843|1.0|0.214378
AACG,ATA Creativity Global  ( NASDAQ:AACG )  Coverage Initiated at StockNews.com,https://www.defenseworld.net/2023/03/29/ata-creativity-global-nasdaqaacg-coverage-initiated-at-stocknews-com.html,20230329T052844,Defense World Staff,ATA Creativity Global ( NASDAQ:AACG ) Coverage Initiated at ... Defense World ...,https://www.marketbeat.com/logos/ata-creativity-global-logo.png?v=20230106150324,Stocknews.com,n/a,www.defenseworld.net,0.178339,Somewhat-Bullish,0.844077,0.303412,Somewhat-Bullish,Earnings|Life Sciences|Financial Markets,0.310843|1.0|0.266143
